AGE,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,EDUCATION,LIMIT_BAL,MARRIAGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,SEX,default_payment_next_month
26,13424,1.80E+04,13001,5818,13506,487,1,1.40E+05,2,-1,0,-1,-1,-1,-1,1.00E+04,13001,5841,13506,487,7004,2,0
43,227,20351,20237,19339,19450,19337,3,2.00E+04,1,-1,-1,0,0,0,0,22359,1305,1258,1459,3457,1700,1,0
42,390,390,390,240,1320,780,3,3.00E+04,1,-1,-1,-1,-1,-1,2,390,390,240,1470,0,0,1,0
36,79278,78501,78534,80016,76235,78245,2,8.00E+04,2,2,0,0,0,0,0,3100,3500,3400,3.00E+03,3500,3.00E+03,1,0
45,335196,334954,335527,333860,335760,330121,3,3.30E+05,2,0,0,0,0,0,0,12388,12378,12116,12450,12213,11678,2,0
44,3265,2686,1864,569,0,0,3,3.50E+05,1,-1,-1,-1,-1,-1,-2,2686,1864,569,0,0,0,1,0
23,49758,48456,44116,21247,20066,18858,2,5.00E+04,2,2,0,0,0,0,0,2401,2254,2004,704,707,1004,1,1
24,19154,18165,17233,7630,1730,0,3,2.00E+04,2,1,2,0,0,0,0,0,1333,500,100,0,3200,2,0
24,35084,35796,30937,19420,10385,1308,1,5.00E+04,2,0,0,0,0,0,0,2090,2002,1002,238,1011,389,2,0
32,3139,5853,2821,0,2821,0,1,1.80E+05,2,-1,-1,2,2,-1,-1,2821,0,0,2821,0,176,2,0
75,52874,1631,1536,1010,5572,794,2,2.50E+05,1,0,-1,-1,-1,-1,-1,1631,1536,1010,5572,794,1184,2,0
27,37767,34457,30036,30337,30997,32904,2,1.00E+05,2,0,0,0,0,0,0,1788,1799,1100,1150,2423,0,2,0
46,35713,15392,16099,16418,16765,17484,3,5.00E+04,1,0,0,0,0,0,0,1561,1268,587,611,1.00E+03,2.00E+03,1,0
26,50867,51486,48869,30115,29527,29998,2,5.00E+04,2,1,2,2,0,0,0,1710,136,1206,2002,2005,3003,2,0
48,1154,1233,862,1355,1130,21361,2,1.40E+05,1,0,-1,-1,-1,-1,-1,1233,1075,1355,1130,21361,1347,2,0
33,8015,2453,9624,52572,7333,2210,2,1.60E+05,1,-1,-1,-1,-1,0,-1,2453,9880,52572,1546,2210,0,2,0
43,62170,0,0,0,0,0,3,1.00E+05,1,0,0,-2,-2,-2,-2,0,0,0,0,0,0,2,0
29,78331,99414,107686,103776,87265,36739,1,5.10E+05,2,0,0,0,0,0,0,40010,20094,5.00E+03,5001,25365,6.50E+04,2,0
32,70003,31545,20974,19713,19848,18126,3,1.00E+05,2,0,0,0,0,0,0,2035,2004,616,2007,1009,2015,1,0
36,68699,69120,68376,30163,14310,15085,2,7.00E+04,2,0,0,0,0,0,0,4483,12496,3268,3.00E+03,3.00E+03,2.00E+03,2,0
40,171,2715,-13,2641,-10,22535,1,4.60E+05,1,2,-1,-1,-1,-1,-1,2728,0,2654,0,22545,0,1,1
30,163935,153152,147032,122196,103692,70204,3,1.80E+05,2,0,0,0,0,0,0,7722,6091,3563,3605,3.00E+03,3211,2,0
38,60502,62804,62769,62683,63663,46549,1,2.10E+05,2,2,0,0,0,0,0,3276,2026,2.00E+03,2.00E+03,2.00E+03,2502,1,0
25,70896,71678,70125,69856,69718,51365,2,1.00E+05,2,2,0,0,0,0,0,3472,2092,2.00E+03,2127,1960,1559,2,1
46,8751,9900,10605,10765,11765,4311,2,2.40E+05,1,0,0,0,0,0,0,1295,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.00E+03,2,0
33,898,898,325,898,325,-339603,1,2.80E+05,2,-1,-1,-1,-1,-1,-1,898,325,898,325,0,345293,1,1
29,1686,657,2179,1423,0,1820,2,1.20E+05,1,-1,-1,-1,-1,-1,-1,657,2319,1423,0,1820,2496,2,0
34,0,0,13001,12601,19595,203,1,3.00E+05,2,1,-2,-1,0,-1,-1,0,13001,0,19595,203,0,1,1
25,11968,14564,27820,15824,15761,12510,1,2.00E+04,2,0,0,2,0,0,0,2800,0,4.00E+03,1700,1.00E+03,2.00E+03,2,1
40,10934,13738,16567,10411,13057,14340,1,2.00E+04,2,0,0,0,2,0,0,3.00E+03,3100,0,3.00E+03,1500,0,1,0
49,52439,51040,56205,54723,58657,59983,3,2.00E+05,1,-1,2,2,2,0,0,0,6.00E+03,0,5.00E+03,2286,3.00E+03,2,1
27,55734,52557,33415,28776,17580,6441,1,1.00E+05,2,0,0,0,0,0,0,1631,1286,200,645,909,200,1,0
46,48522,50955,29516,29742,29898,24883,3,5.00E+04,1,3,2,2,0,0,0,3754,1,1070,1030,863,654,2,0
28,26361,18826,1100,2100,767,6173,2,2.30E+05,1,0,0,0,-2,-1,-1,1710,1100,1.00E+03,767,6173,1.00E+03,2,1
41,650,650,325,950,475,325,2,2.20E+05,1,-1,2,2,-1,2,-1,325,0,950,0,325,325,2,1
55,50396,44665,8300,2190,24599,7416,2,3.40E+05,1,-2,-1,-1,-2,-2,-2,44665,8321,2190,24599,7416,77195,1,0
37,-179,505,189,6773,23209,16893,2,2.00E+05,1,1,-1,2,-1,-1,-1,1.00E+03,0,6900,2.40E+04,1.70E+04,2500,2,1
31,390,0,0,0,0,0,2,1.40E+05,2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,2,0
39,274731,281713,242063,122295,-1005,1005,1,1.80E+05,1,0,0,-1,0,0,-1,1.10E+04,1.45E+05,2.60E+04,0,101005,1898,1,0
31,138119,137950,140254,139679,141748,142174,2,1.40E+05,2,0,0,0,0,0,0,6600,6500,5100,5300,6.00E+03,5.00E+03,2,0
26,17893,19012,20123,20222,20796,19844,2,3.00E+04,2,0,0,0,0,0,0,1411,1522,621,795,715,1.00E+03,2,1
36,-14386,-13543,3432,-3684,0,1386,1,2.00E+05,1,1,-2,-1,-1,-2,-1,10118,47015,0,4.00E+03,1.00E+05,1.00E+04,1,0
58,15899,18720,18122,18530,19089,18856,3,5.00E+04,1,2,2,2,0,0,2,3400,0,1.00E+03,1001,634,638,1,0
40,0,0,2066,2.00E+03,216,216,1,1.10E+05,1,1,-2,-1,0,-1,-1,0,2066,0,216,216,66,1,1
35,761,300,399,665,576,613,1,2.30E+05,2,-2,-2,-2,-2,-2,-2,300,399,665,576,613,520,2,0
34,34302,35089,43449,42451,49718,48767,1,9.00E+04,2,0,0,0,2,2,2,1640,9.00E+03,0,8.00E+03,0,2.00E+03,2,0
31,20526,15129,15093,9577,11139,12487,2,5.00E+04,2,0,0,0,0,0,0,2.00E+03,3.00E+03,327,3.00E+03,3.00E+03,5.00E+03,1,1
29,89055,90780,70947,72367,73875,75355,2,1.30E+05,2,0,0,0,0,0,0,4200,2575,2600,2674,2701,5750,2,0
36,100594,78372,91502,90859,88616,88450,3,1.40E+05,1,0,0,0,0,0,0,3.00E+03,3.00E+04,4.00E+03,4.00E+03,3400,3300,1,0
38,40810,42653,42351,43011,43011,28947,1,1.00E+05,2,0,0,0,0,0,0,2502,1200,860,0,579,0,1,0
22,0,0,0,848,0,632,2,5.00E+04,2,-2,-2,-2,-2,-2,-2,0,0,848,0,632,0,2,0
25,26476,21393,0,0,0,0,2,1.20E+05,1,0,0,0,-2,-2,-2,6.00E+03,0,0,0,0,0,2,0
41,14867,26665,199960,9033,19371,22593,3,4.80E+05,1,-2,-2,-2,-2,-2,-2,26734,199982,9033,19371,22593,2.00E+03,2,0
35,22500,5.00E+03,0,0,0,0,3,5.00E+04,1,-1,-1,-1,-2,-2,-2,5.00E+03,0,0,0,0,640,2,0
36,0,0,0,0,0,0,1,2.60E+05,2,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,2,1
49,9551,12081,13087,12583,15327,16414,3,2.00E+04,2,2,2,2,2,0,0,3.00E+03,1500,0,3123,1500,1.00E+03,2,1
25,91894,71732,73241,74424,76070,77648,2,9.00E+04,2,0,0,0,0,0,0,3200,3300,3.00E+03,3001,3.00E+03,3100,2,0
27,304867,299998,300426,292869,292885,281826,1,3.90E+05,2,0,0,0,0,0,0,13007,10612,10041,1.10E+04,10512,7.00E+03,2,1
36,159760,162189,166127,169365,168755,167964,1,5.80E+05,1,0,0,0,0,0,0,6422,6565,5951,6006,5894,5946,2,0
27,14072,0,0,300,150,150,1,6.00E+04,2,-1,-1,-2,-1,2,-1,0,0,300,0,150,200,2,0
44,246135,231443,234557,200643,194410,198857,1,2.40E+05,2,0,0,0,0,0,0,12026,9010,7400,8.00E+03,8.00E+03,7.00E+03,1,1
42,38564,38246,32253,30384,30900,0,4,2.00E+05,1,0,0,0,0,0,0,5.00E+03,1485,1956,1500,0,2102,1,0
30,96304,98007,82227,6.50E+04,60848,58880,3,1.40E+05,1,0,0,0,2,0,0,4505,12906,0,2210,2300,5200,2,0
51,0,0,0,0,0,0,1,3.80E+05,1,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,1,1
42,78129,28202,78553,49340,48919,48443,2,8.00E+04,2,0,0,0,0,0,0,2500,51432,1800,1800,1800,1700,1,0
39,40034,36549,17431,15031,10600,5315,2,4.00E+04,2,0,0,0,0,0,-1,2027,1207,301,212,5315,4987,1,0
32,23974,24131,25326,25775,0,0,1,5.00E+04,2,-1,0,0,0,0,-2,1800,1900,1300,0,0,0,1,0
59,208459,206331,203813,201331,198999,191671,1,2.30E+05,1,-1,0,0,0,0,0,7536,7277,7100,7120,6844,6945,1,1
41,6160,3274,6190,307,2870,670,1,9.00E+04,1,-1,-1,-1,-1,-1,-1,3276,6246,307,2870,670,1362,2,0
34,2927,2790,1140,2144,1180,1382,2,1.80E+05,1,-1,-1,-1,-1,-1,-1,2790,1140,2144,1180,1382,2440,1,0
29,27199,28358,28937,29614,30391,23159,2,6.00E+04,2,0,0,0,0,0,0,1900,1400,1.00E+03,1100,1.00E+03,420,2,0
37,66759,68200,72972,71248,50610,50809,2,7.00E+04,1,0,0,0,2,0,0,2518,5950,0,1782,1985,2700,2,0
31,0,0,0,0,0,0,1,2.00E+05,2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,1,0
31,177554,180633,172914,130139,115494,117465,2,1.90E+05,1,0,0,0,0,0,0,7600,6303,4137,3502,4027,3517,1,0
47,203183,202961,194449,196814,200526,198717,3,2.00E+05,2,0,0,0,0,0,0,7521,7.00E+03,7.00E+03,7128,8.00E+03,7100,2,0
23,16440,20417,18333,18848,30190,19664,2,2.00E+04,2,0,0,2,0,0,0,7403,0,820,1025,1113,104,1,0
28,42238,38741,36696,35813,37893,34661,2,1.80E+05,2,0,0,0,0,0,2,2500,2.00E+03,1128,2500,0,2.00E+03,2,0
35,240,240,240,240,240,240,2,1.20E+05,2,-1,-1,-1,-1,-1,-1,240,240,240,240,240,240,2,1
32,68739,67629,69188,68392,69884,71284,3,7.00E+04,1,0,0,0,0,0,0,3060,3300,2610,2750,2750,5500,1,0
22,10250,8558,10525,10050,9903,9984,2,1.00E+04,2,1,2,0,0,0,0,0,2126,390,328,476,1287,2,0
27,-58,32991,36465,44310,62408,61420,2,4.10E+05,2,1,-1,0,0,0,0,33049,1.60E+04,8700,18775,1.50E+04,5350,2,0
42,111496,112133,69529,70804,70781,66735,2,1.40E+05,1,0,0,0,0,0,0,6022,3021,5012,5112,3.00E+03,5.00E+03,2,1
27,1692,13250,433,1831,0,2891,2,2.20E+05,2,-1,-1,-1,-1,-1,-1,13250,433,1831,0,2891,153504,2,0
30,97538,49187,17518,17710,18079,18302,2,5.00E+04,3,0,0,0,0,0,0,2454,1588,780,803,673,637,1,0
50,53849,55030,61574,62470,61198,62524,3,1.00E+05,1,2,0,0,3,3,2,2050,7500,2500,0,2500,2500,2,1
26,2411,3059,2333,1800,1620,0,1,5.00E+04,2,-2,-2,-2,-2,-2,-2,3068,2440,1807,2204,0,0,1,0
25,480,1675,3630,578,4825,6200,2,6.00E+04,2,-1,-1,0,-1,-1,0,1675,2500,578,4825,2.00E+03,2435,1,0
52,3257,4166,0,0,318,0,1,5.00E+04,2,0,0,0,-2,-1,-1,1.00E+03,0,0,318,0,0,2,0
38,399,0,0,0,218,270,1,2.00E+05,2,-1,-1,-2,-2,-1,-1,0,0,0,218,270,317,2,0
28,0,0,0,0,0,318,1,1.50E+05,2,1,-2,-2,-2,-2,-1,0,0,0,0,318,0,2,0
41,-65,-65,-65,-65,-65,-200,1,2.20E+05,1,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,2,1
28,2403,7357,9752,12608,10797,20539,1,2.30E+05,2,-1,-1,0,0,0,0,7357,2566,3.00E+03,1.00E+03,1.00E+04,2.00E+03,2,0
27,52437,50473,45087,35424,31760,31214,1,1.20E+05,2,0,0,0,0,0,0,5024,5.00E+03,5.00E+03,4.00E+03,5.00E+03,3500,1,0
42,0,6370,0,0,0,0,1,2.40E+05,1,1,-1,-1,-2,-2,-2,6370,0,0,0,0,0,2,0
47,37850,68187,1207,2632,8654,0,2,6.30E+05,1,0,0,0,-1,-1,-2,38187,1207,2632,8654,0,4981,2,0
33,5233,5393,1824,350,150,199,1,1.60E+05,1,-2,-2,-2,-2,-2,-2,5401,1829,350,150,199,1145,2,0
29,55788,8360,4897,5065,19468,0,1,2.00E+05,2,1,-1,-1,-1,-1,-1,8394,4927,5089,19561,0,125,2,0
23,49809,50364,38429,18815,18305,19013,2,5.00E+04,2,0,0,0,0,0,0,2040,2766,1690,1.00E+03,1.00E+03,1.00E+03,2,0
36,5197,6015,6615,7131,6987,6980,2,5.00E+04,2,0,0,0,0,0,0,1300,1100,1.00E+03,500,500,1.00E+03,1,0
35,7797,2687,8762,3377,2.00E+03,0,2,3.00E+04,1,-2,-1,-1,-1,-1,-2,2687,8765,3390,2040,0,0,1,0
33,35785,29155,27485,29266,35598,38449,2,9.00E+04,2,-1,0,0,0,0,0,15155,5485,5263,8598,5449,6537,1,0
53,77766,77954,78512,60452,61556,54022,3,8.00E+04,2,0,0,0,0,0,0,4.00E+03,2374,2007,2500,3.00E+03,2.00E+03,2,0
25,8817,23634,21776,9631,1561,1990,3,2.10E+05,2,-1,-1,2,-1,-1,-1,23776,0,9631,1561,1990,7967,1,1
31,5841,23194,62361,67057,17024,18659,2,2.60E+05,1,-1,-1,0,0,-1,-1,23194,5.00E+04,11500,17024,18659,38923,2,0
35,34976,6018,13930,7106,6020,9011,1,5.00E+04,1,0,0,0,0,0,0,1127,1074,215,249,4383,172,1,0
46,56700,57875,59044,59756,61004,62213,3,1.10E+05,2,0,0,0,0,0,0,2681,2724,2287,2362,2374,2454,1,0
24,79243,75254,58683,58886,60035,57264,2,8.00E+04,2,2,0,0,0,0,0,3249,3.00E+03,5.00E+03,2500,2300,2200,2,0
28,26450,28823,28171,28740,30454,29930,2,1.40E+05,2,2,2,2,0,0,2,3007,0,924,2070,0,3.00E+03,2,0
31,0,0,0,0,0,0,2,1.80E+05,2,1,-2,-2,-2,-2,-2,0,0,0,0,0,1576,2,0
33,21724,23168,23320,24085,24149,3323,1,1.50E+05,2,0,0,0,0,0,0,2100,1200,965,64,509,8399,1,0
25,58839,53235,38533,39639,39619,39140,1,6.00E+04,2,0,0,0,0,0,0,2018,1900,2.00E+03,1500,1900,2.00E+03,1,0
39,80833,79100,70764,71629,70805,70718,2,2.00E+05,1,0,0,0,0,0,0,3315,3088,2572,2559,2526,2620,2,0
37,0,0,0,0,166,541,2,3.60E+05,1,1,-2,-2,-2,-1,-1,0,0,0,166,543,4268,2,0
24,491,0,0,0,0,0,1,9.00E+04,2,-1,-1,-2,-2,-2,-2,0,0,0,0,0,0,2,0
49,1440,0,0,0,0,0,3,1.00E+05,2,-1,-1,-2,-2,-2,-2,0,0,0,0,0,0,1,0
42,-200,-200,0,4.20E+04,0,0,1,4.50E+05,1,1,-2,-2,-1,-1,-2,0,200,4.20E+04,0,0,0,2,1
39,2082,3557,5623,5400,3866,3526,2,2.80E+05,1,-2,-2,-2,-2,-2,-2,3597,5672,5427,3885,3543,3519,1,1
28,46923,48666,49347,50386,43883,34412,1,1.90E+05,2,0,0,0,0,0,0,2500,2.00E+03,3.00E+03,2.00E+03,2.00E+03,2.00E+03,2,1
27,61611,62711,63695,63926,67361,59480,3,7.00E+04,1,0,0,0,0,0,2,3011,3095,2.00E+03,4600,0,2258,2,0
31,3345,1083,4339,7423,4059,2508,2,3.00E+05,2,-1,-1,-1,-1,0,-1,1087,4355,7423,0,2508,4141,2,0
45,26650,20787,20566,21158,22141,22158,2,1.10E+05,3,0,0,0,0,0,0,1532,2.00E+03,783,3.00E+03,2.00E+03,2.00E+03,2,0
29,0,0,1024,0,0,0,1,2.30E+05,2,-2,-2,-2,-2,-2,-2,0,1024,0,0,0,0,2,0
47,1548,-32,177639,174397,4852,4125,1,3.60E+05,1,-1,-1,-1,0,-1,-1,0,177671,3508,4876,4188,10007,1,0
34,27966,28539,11597,6611,7349,7570,1,5.00E+04,1,0,0,0,-1,0,0,1267,1553,7511,1.00E+03,343,1.00E+03,2,0
22,8109,9778,8259,0,0,0,3,1.00E+04,2,0,0,0,0,-2,-2,2.00E+03,1036,0,0,0,0,2,1
30,52515,51424,49967,20036,20076,37615,2,5.00E+04,3,1,3,2,0,0,0,0,0,2.00E+03,1.00E+03,1.00E+03,1600,2,1
46,12289,11806,13268,12758,13549,14673,3,3.00E+04,1,1,2,2,2,2,2,0,1970,0,1.00E+03,1500,0,2,0
24,10476,7279,688,688,688,1320,2,2.00E+04,2,0,0,-1,2,0,0,1.00E+03,688,0,0,650,0,1,0
42,47912,25023,25768,26410,27960,46254,2,3.00E+04,1,0,0,0,0,0,0,1755,1500,1.00E+03,1909,1.00E+03,2.00E+03,2,0
31,203,767,664,1250,-10,2174,1,4.00E+05,2,-2,-2,-2,-2,-2,-2,770,667,1256,0,2184,0,2,0
33,69418,68943,38783,3758,1261,0,2,7.00E+04,1,0,0,0,0,0,0,2382,2025,1.00E+03,25,0,1651,2,1
48,45174,41885,42832,23799,11723,27236,2,8.00E+04,2,0,0,0,0,0,0,3.00E+03,3413,2.00E+03,5.00E+03,17236,2.00E+03,2,0
22,7960,9649,8518,8628,9293,5033,2,1.00E+04,2,0,0,0,0,0,0,2.00E+03,1.00E+03,500,1500,0,2500,1,1
33,-14,2568,-387,-387,-387,113,2,4.50E+05,2,-2,-2,-2,-2,-2,-2,2582,0,0,0,500,2515,1,0
29,49549,133957,128212,79407,8875,49880,2,3.30E+05,2,0,0,0,0,-1,-1,9.00E+04,3.00E+03,5.00E+03,8875,49880,519,2,0
29,546,255,464,1173,732,1023,1,6.00E+04,2,-1,2,-1,-1,2,2,0,500,1.00E+03,0,582,0,1,1
28,101593,101886,101441,100829,101913,96704,3,1.50E+05,2,0,0,0,0,0,0,4.00E+03,4032,3410,4.00E+03,3665,3050,2,0
31,142764,126606,67887,58397,105301,105965,1,6.10E+05,2,0,0,0,0,0,0,6540,2100,2150,5.00E+04,4700,2.00E+03,2,0
51,56764,57950,57668,55024,55883,55744,1,1.40E+05,1,0,0,0,0,0,0,2115,2004,1941,2073,1909,2132,2,0
