,AGE,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,EDUCATION,LIMIT_BAL,MARRIAGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,SEX,default_payment_next_month
36,41.0,-8963.0,-5999.0,3070.0,-7811.0,-8278.0,-2729.0,2,333385.0,2,2,2,-2,-2,-2,-2,3211.0,4760.0,460.0,170.0,374.0,54.0,2,0
37,30.0,78938.0,71604.0,87406.0,91100.0,92588.0,98484.0,1,94654.0,1,-1,-1,-1,-1,-1,-1,1943.0,31842.0,3614.0,3907.0,4767.0,1062.0,1,0
38,32.0,18831.0,12598.0,2920.0,20928.0,20575.0,20023.0,1,35091.0,1,-1,-1,-1,-1,-1,-1,3833.0,1707.0,7594.0,1529.0,945.0,523.0,2,0
39,33.0,419275.0,417759.0,446596.0,329919.0,341108.0,313484.0,2,397568.0,2,1,2,2,2,2,2,4593.0,34138.0,1161.0,12599.0,12592.0,10498.0,2,0
40,24.0,-4940.0,-365.0,885.0,2528.0,-336.0,1869.0,2,139520.0,1,-2,-2,-2,-2,-2,-2,6476.0,2145.0,3357.0,2094.0,2569.0,1388.0,1,0
41,38.0,-14245.0,-8514.0,-10826.0,-5754.0,-3014.0,-5305.0,2,229452.0,1,0,0,0,0,0,0,2079.0,85.0,3674.0,4267.0,1493.0,92.0,2,1
42,40.0,104923.0,63729.0,23097.0,28299.0,24071.0,15661.0,2,314257.0,1,0,0,0,0,0,0,3008.0,2209.0,8127.0,3819.0,1209.0,5796.0,2,0
43,49.0,12068.0,8981.0,13392.0,14975.0,11927.0,15308.0,2,42850.0,1,0,0,0,0,0,-1,628.0,2054.0,1453.0,1077.0,1644.0,12.0,2,1
44,36.0,81641.0,88846.0,90259.0,74634.0,93433.0,78727.0,3,95898.0,1,0,0,0,0,0,0,2945.0,1737.0,719.0,6849.0,775.0,1055.0,1,0
45,41.0,25186.0,15857.0,11030.0,10328.0,11713.0,17017.0,3,28187.0,2,0,0,0,0,0,0,327.0,549.0,206.0,128.0,118.0,199.0,2,0
46,28.0,113321.0,130221.0,134211.0,121367.0,152884.0,116518.0,1,110508.0,2,1,2,2,-1,0,-1,12794.0,468.0,689.0,3609.0,914.0,1163.0,2,0
47,29.0,29414.0,19583.0,11554.0,2155.0,-5493.0,5094.0,2,15069.0,2,0,0,0,0,0,0,241.0,387.0,223.0,404.0,990.0,862.0,2,0
48,49.0,43273.0,39530.0,39818.0,42473.0,39843.0,38506.0,2,46087.0,1,0,0,0,0,0,0,2595.0,1371.0,1694.0,731.0,531.0,1318.0,1,0
49,48.0,37405.0,34497.0,33063.0,25218.0,28040.0,22653.0,2,320504.0,1,-1,-1,-1,-1,0,0,2582.0,739.0,95.0,297.0,378.0,12256.0,1,0
50,51.0,24592.0,7648.0,5.0,-1172.0,1499.0,3026.0,2,247608.0,2,-1,-1,-1,-1,-1,0,912.0,542.0,2724.0,3047.0,744.0,1985.0,2,0
51,44.0,-5861.0,-7454.0,-8666.0,1885.0,1788.0,3587.0,3,337435.0,1,1,4,3,2,2,2,1578.0,171.0,3933.0,1916.0,270.0,2236.0,2,1
52,54.0,86323.0,79760.0,77193.0,74158.0,61075.0,57229.0,1,73747.0,2,0,0,2,2,4,5,1303.0,4653.0,2406.0,1641.0,611.0,6229.0,1,0
53,35.0,228107.0,225598.0,225738.0,257360.0,268141.0,219444.0,2,237538.0,2,1,5,4,4,3,2,2074.0,7873.0,36793.0,11690.0,3325.0,6158.0,2,0
54,37.0,143542.0,142276.0,152707.0,139713.0,135456.0,121757.0,1,93256.0,1,1,2,2,0,0,0,480.0,634.0,1689.0,44.0,10458.0,789.0,1,1
55,36.0,195240.0,200885.0,182446.0,177625.0,190597.0,163238.0,2,195422.0,2,1,2,0,0,0,0,8641.0,3499.0,10814.0,11065.0,6167.0,19372.0,1,0
56,40.0,-4681.0,-9335.0,-2456.0,-3753.0,-962.0,1873.0,1,292348.0,2,0,-1,-1,0,0,0,991.0,3170.0,3235.0,3983.0,3631.0,948.0,2,0
57,22.0,14973.0,-5465.0,-4132.0,1389.0,-2823.0,4784.0,2,45650.0,1,1,-2,-2,-2,-2,-2,224.0,389.0,2789.0,293.0,227.0,187.0,1,1
58,30.0,32296.0,22921.0,20969.0,41998.0,34244.0,38165.0,1,51959.0,2,1,-2,-2,-2,-2,-2,1766.0,4941.0,37599.0,1625.0,2806.0,63290.0,2,1
59,34.0,8261.0,1847.0,-1756.0,26763.0,12171.0,53898.0,2,150745.0,1,0,-1,-1,-2,-1,-1,1149.0,923.0,36010.0,10611.0,24653.0,1897.0,1,1
60,38.0,24446.0,14370.0,2305.0,5477.0,2560.0,10795.0,1,294581.0,1,0,0,0,0,0,0,1468.0,3045.0,6768.0,1111.0,17772.0,2252.0,1,0
61,31.0,17288.0,16051.0,18486.0,14851.0,10705.0,10451.0,1,438975.0,1,-1,-1,-1,0,-1,-1,4248.0,6309.0,2328.0,984.0,1428.0,3566.0,2,1
62,42.0,131945.0,147266.0,134972.0,163886.0,124522.0,121958.0,2,250211.0,2,1,2,0,0,-1,-1,15814.0,26868.0,71458.0,4974.0,13356.0,5937.0,1,1
63,34.0,58372.0,63409.0,60109.0,54480.0,50775.0,64182.0,1,53995.0,2,0,0,0,0,0,0,10799.0,5628.0,1465.0,1747.0,10267.0,408.0,1,0
64,28.0,122674.0,111445.0,105678.0,91684.0,67881.0,58749.0,1,116619.0,2,0,0,0,0,0,0,4380.0,12218.0,3423.0,2599.0,2383.0,3072.0,2,0
65,23.0,12278.0,4725.0,7093.0,7945.0,8867.0,12916.0,2,116509.0,2,0,0,0,0,0,0,895.0,828.0,978.0,626.0,452.0,805.0,1,0
66,23.0,74041.0,78866.0,49488.0,80612.0,79728.0,67962.0,1,45675.0,2,-2,-2,-2,-2,-2,-2,209.0,0.0,2207.0,0.0,0.0,0.0,1,0
67,28.0,23873.0,16026.0,11588.0,147.0,-4665.0,363.0,1,368951.0,2,-1,-1,-1,-1,-1,-1,553.0,1186.0,136.0,197.0,435.0,36.0,2,0
68,43.0,5662.0,-866.0,-1454.0,-4596.0,-4206.0,-428.0,2,309124.0,1,0,0,0,0,0,0,1619.0,2631.0,1010.0,1555.0,1582.0,150.0,1,1
69,32.0,-12588.0,-8568.0,-9332.0,-2891.0,-11055.0,2963.0,2,223704.0,1,-2,-2,-2,-2,-2,-2,2320.0,100.0,9725.0,417.0,3214.0,565.0,2,0
70,31.0,37681.0,37661.0,35957.0,37474.0,37143.0,34621.0,2,66150.0,2,2,2,2,2,2,0,1229.0,931.0,696.0,833.0,694.0,4728.0,1,1
71,55.0,198907.0,215457.0,186740.0,132193.0,72560.0,50040.0,2,189213.0,2,0,0,0,0,0,0,28891.0,3129.0,2450.0,3990.0,2507.0,8852.0,1,0
72,33.0,140552.0,140920.0,132740.0,90599.0,57009.0,39682.0,3,206200.0,2,0,0,0,0,0,0,5091.0,15173.0,745.0,1392.0,616.0,496.0,2,0
73,25.0,18533.0,32561.0,18730.0,34304.0,12800.0,2260.0,1,23430.0,1,0,0,0,0,0,0,34256.0,469.0,5310.0,184.0,355.0,341.0,2,0
74,60.0,63283.0,62662.0,66663.0,35794.0,23721.0,18623.0,1,75740.0,2,-1,-1,-1,0,0,0,1210.0,11526.0,409.0,169.0,531.0,489.0,2,1
75,44.0,10326.0,14267.0,10958.0,8349.0,11571.0,17354.0,3,239630.0,2,3,2,0,0,0,0,11207.0,10391.0,8486.0,11037.0,5718.0,2888.0,2,0
76,59.0,332959.0,336935.0,362514.0,314862.0,337475.0,295043.0,2,298330.0,3,-2,-2,-2,-2,-2,-2,2416.0,5296.0,2008.0,27485.0,19781.0,8511.0,2,0
77,25.0,36161.0,24576.0,20268.0,24512.0,20828.0,24279.0,1,80561.0,1,2,2,2,2,2,2,485.0,855.0,1198.0,214.0,377.0,296.0,1,1
78,28.0,69657.0,71618.0,59764.0,58763.0,37094.0,31078.0,1,108540.0,1,-2,-2,-2,-2,-2,-2,7926.0,2541.0,3877.0,973.0,1308.0,2364.0,2,0
79,46.0,2291.0,-3972.0,-5607.0,-9936.0,-9228.0,-4045.0,1,297095.0,2,-1,-1,-1,0,-1,-1,3502.0,579.0,838.0,177.0,1754.0,846.0,2,0
80,42.0,56853.0,39261.0,42229.0,40199.0,39503.0,44626.0,2,376913.0,1,0,0,0,0,0,0,386.0,5452.0,1363.0,585.0,829.0,237.0,2,0
81,34.0,248387.0,302697.0,342834.0,334604.0,372606.0,214458.0,2,297022.0,1,2,2,0,0,0,0,3798.0,0.0,22568.0,0.0,0.0,0.0,2,0
82,43.0,-2765.0,114534.0,41001.0,13362.0,149254.0,97929.0,1,397385.0,2,-2,-2,-2,-2,-2,-2,136660.0,24741.0,3799.0,147643.0,2700.0,4668.0,1,0
83,54.0,46648.0,37685.0,29517.0,35022.0,26808.0,28011.0,2,30830.0,1,1,-2,-1,-1,-2,-2,1622.0,1590.0,3951.0,2967.0,2192.0,24113.0,2,0
84,41.0,51550.0,34099.0,30697.0,29044.0,27957.0,25559.0,2,54323.0,1,1,-2,-2,-1,0,-1,537.0,2094.0,572.0,1393.0,209.0,312.0,2,1
85,37.0,-229.0,199.0,-1448.0,752.0,2792.0,6735.0,1,184619.0,2,-1,-1,-1,-2,-2,-2,1788.0,4076.0,4112.0,4749.0,5480.0,892.0,1,1
86,39.0,34547.0,42327.0,20185.0,35483.0,21712.0,36836.0,3,342167.0,2,0,0,0,0,0,-1,12014.0,12977.0,49054.0,13417.0,31731.0,22626.0,1,0
87,36.0,39722.0,33477.0,28649.0,23521.0,25721.0,28676.0,2,92901.0,2,0,0,0,0,0,0,316.0,344.0,216.0,731.0,427.0,489.0,1,0
88,28.0,65953.0,57079.0,54706.0,59434.0,53592.0,60081.0,1,68807.0,2,0,0,0,0,0,0,1049.0,2411.0,3138.0,1289.0,474.0,774.0,2,0
89,41.0,145612.0,149013.0,145861.0,115213.0,79339.0,69964.0,1,166134.0,2,0,0,0,0,-1,-1,10768.0,8934.0,1966.0,1265.0,4026.0,12976.0,1,0
90,26.0,141818.0,142465.0,146071.0,148329.0,126128.0,117442.0,1,116560.0,1,1,-2,-2,-2,-2,-2,4832.0,1985.0,9519.0,1828.0,1889.0,4732.0,1,1
91,26.0,5949.0,-1622.0,-5556.0,-7827.0,-6750.0,-8327.0,2,93627.0,1,0,0,0,0,0,0,4604.0,405.0,1686.0,339.0,252.0,1422.0,2,0
92,55.0,85441.0,87042.0,65854.0,56854.0,31948.0,34538.0,1,94248.0,2,0,0,0,0,0,0,10280.0,3719.0,2107.0,1051.0,14799.0,1077.0,2,0
93,31.0,-15441.0,-11466.0,-6221.0,-7231.0,-4388.0,-4594.0,2,291753.0,3,0,0,0,0,0,-1,1919.0,1294.0,2105.0,2629.0,4104.0,10286.0,1,0
94,24.0,576.0,-2717.0,-6164.0,-3955.0,-3063.0,5943.0,1,118242.0,2,1,-1,-1,-1,0,0,187.0,595.0,408.0,214.0,114.0,26.0,2,0
95,30.0,-16885.0,-12198.0,240.0,-21213.0,-15889.0,-22396.0,2,138362.0,1,0,0,2,2,-2,-1,1286.0,1897.0,87.0,25.0,21.0,1871.0,1,0
96,22.0,1168.0,-7537.0,-6754.0,-4362.0,-2528.0,1947.0,3,36208.0,2,0,0,0,0,0,0,46.0,35.0,78.0,94.0,16.0,299.0,1,0
97,33.0,215748.0,219421.0,237101.0,214030.0,208242.0,170440.0,2,256342.0,1,-2,-2,-2,-2,-2,-2,5413.0,21590.0,5318.0,6710.0,5427.0,19251.0,2,0
98,34.0,105934.0,120364.0,138554.0,133921.0,121693.0,104550.0,1,115783.0,2,0,0,0,0,0,0,18539.0,128930.0,7600.0,7151.0,5282.0,7543.0,2,0
99,31.0,46073.0,64765.0,63204.0,62027.0,61603.0,59288.0,1,275218.0,1,1,-2,-2,-2,-2,-2,43527.0,4181.0,3516.0,5824.0,16108.0,17387.0,2,1
100,33.0,19406.0,13795.0,11637.0,15777.0,14848.0,19741.0,1,17680.0,2,0,0,0,2,0,0,925.0,2581.0,1699.0,3225.0,920.0,527.0,2,0
101,58.0,4266.0,-3449.0,-238.0,9447.0,2536.0,3263.0,1,149280.0,2,0,-1,0,0,-1,2,932.0,20095.0,14916.0,1169.0,21353.0,1861.0,1,0
102,24.0,67177.0,72072.0,75320.0,58783.0,46477.0,41241.0,2,77789.0,1,0,0,0,0,0,0,3167.0,1121.0,579.0,842.0,1069.0,283.0,1,0
103,32.0,727.0,-11097.0,-1243.0,-5291.0,-7627.0,-4614.0,3,249697.0,1,0,0,0,0,0,0,173.0,2339.0,1403.0,315.0,58.0,21.0,2,1
104,25.0,39207.0,30869.0,30181.0,31919.0,28261.0,27318.0,2,47099.0,2,0,0,0,0,0,0,345.0,501.0,422.0,1350.0,239.0,396.0,1,0
105,42.0,3973.0,2797.0,-4149.0,-5544.0,-3428.0,151.0,3,311637.0,3,0,0,2,2,0,0,7272.0,2878.0,7115.0,2558.0,640.0,475.0,2,1
106,30.0,69711.0,26887.0,6585.0,1677.0,3351.0,-1004.0,1,285598.0,2,-1,0,0,0,0,0,3887.0,3936.0,3353.0,7039.0,891.0,8974.0,1,0
107,32.0,148393.0,146330.0,154972.0,162787.0,155386.0,131794.0,2,148693.0,2,-1,-1,-1,-2,-2,-2,5657.0,31354.0,16115.0,3427.0,2105.0,2460.0,2,0
108,51.0,16171.0,21014.0,2523.0,-5217.0,23222.0,19436.0,3,128203.0,2,0,0,0,2,0,0,9465.0,889.0,954.0,38948.0,16872.0,12383.0,1,0
109,35.0,10854.0,29372.0,8338.0,24558.0,47013.0,51402.0,3,193966.0,1,0,0,0,0,0,0,43453.0,1470.0,20257.0,10387.0,20273.0,895.0,2,0
110,45.0,38903.0,-2892.0,29000.0,57097.0,7143.0,-55365.0,1,97210.0,2,-1,-1,-1,-1,-1,-1,1372.0,13094.0,6905.0,2849.0,49.0,856.0,2,0
111,22.0,33714.0,33146.0,42724.0,38204.0,35522.0,43172.0,2,24160.0,1,0,0,0,0,0,0,615.0,692.0,2064.0,2225.0,12466.0,2497.0,2,0
112,47.0,-1255.0,-6431.0,-1980.0,-4848.0,73.0,1096.0,2,284057.0,2,0,0,0,0,0,0,1161.0,1081.0,2787.0,3283.0,1005.0,954.0,2,0
113,34.0,53468.0,54663.0,45000.0,53467.0,48514.0,47043.0,1,87631.0,2,-1,-1,-1,-1,-1,-1,6510.0,1570.0,1930.0,2724.0,1400.0,25893.0,1,0
114,41.0,94123.0,90340.0,97743.0,92704.0,84003.0,93974.0,2,99751.0,1,-1,-1,-1,-1,-1,-1,2289.0,13994.0,11776.0,3757.0,8229.0,8471.0,2,0
115,38.0,27334.0,24623.0,20894.0,22314.0,18322.0,20999.0,5,32912.0,1,-2,-2,-2,-2,-2,-2,747.0,517.0,514.0,434.0,427.0,2112.0,1,0
116,54.0,69402.0,55256.0,39332.0,32158.0,25253.0,19269.0,3,43225.0,2,0,0,0,0,0,0,373.0,398.0,233.0,136.0,113.0,1900.0,1,0
117,32.0,2982.0,-4560.0,-2175.0,-316.0,2171.0,1208.0,3,99085.0,2,2,2,3,3,3,3,423.0,244.0,926.0,2918.0,258.0,575.0,1,1
118,28.0,-7426.0,-2571.0,5510.0,-10208.0,-7321.0,-3336.0,2,203013.0,2,-1,-1,-1,-1,-1,0,4546.0,3852.0,341.0,775.0,2937.0,495.0,2,0
119,49.0,-23477.0,-16246.0,-6330.0,-17169.0,-11243.0,-13594.0,1,303424.0,1,-2,-2,-2,-2,-2,-2,2081.0,772.0,389.0,451.0,1007.0,491.0,2,0
120,60.0,13444.0,2618.0,5467.0,-2787.0,-3594.0,6856.0,3,22945.0,1,0,0,0,0,0,0,1117.0,8291.0,354.0,454.0,5376.0,264.0,2,0
121,34.0,32202.0,24709.0,24046.0,27063.0,21494.0,21710.0,1,90570.0,2,-1,-1,-1,-1,0,-1,396.0,1819.0,2192.0,1857.0,742.0,3893.0,2,0
122,33.0,18831.0,19251.0,11133.0,17652.0,15848.0,19420.0,1,150643.0,1,-2,-2,-2,-2,-2,-2,17891.0,7073.0,10693.0,2514.0,2730.0,9676.0,2,0
123,25.0,2180.0,-1902.0,3564.0,1524.0,1934.0,9128.0,1,134173.0,2,2,2,0,0,0,0,3834.0,6229.0,5299.0,5434.0,6887.0,2386.0,1,0
124,23.0,24371.0,9112.0,1451.0,5797.0,-2610.0,8749.0,1,26480.0,1,-2,-2,-2,-2,-2,-2,423.0,233.0,2881.0,564.0,2471.0,108.0,1,0
125,29.0,41567.0,40582.0,18892.0,2089.0,106420.0,82777.0,2,54109.0,1,0,0,0,0,0,0,4203.0,1391.0,416.0,123536.0,6011.0,1337.0,2,0
126,37.0,-9128.0,-6818.0,-171.0,-5516.0,-8183.0,-1510.0,3,188246.0,2,1,2,2,2,0,0,1648.0,2695.0,1708.0,461.0,2169.0,224.0,1,1
127,52.0,127626.0,77340.0,21183.0,44233.0,34303.0,34256.0,3,319429.0,1,3,2,2,2,2,2,701.0,3684.0,88150.0,765.0,2320.0,1479.0,2,1
128,31.0,-9286.0,-8444.0,-7012.0,-14175.0,-11564.0,-12826.0,2,137710.0,1,2,2,2,2,0,0,2091.0,209.0,592.0,311.0,249.0,231.0,2,1
129,32.0,109064.0,124722.0,127686.0,128839.0,111826.0,99105.0,2,131583.0,2,0,0,0,0,0,0,16538.0,10290.0,14120.0,8631.0,3286.0,9283.0,2,0
130,43.0,66220.0,62066.0,115383.0,233351.0,197752.0,207734.0,1,177390.0,2,2,2,2,0,0,2,42596.0,4495.0,63454.0,9851.0,26401.0,5430.0,1,1
131,28.0,-5473.0,-7204.0,-5603.0,-13954.0,4987.0,8471.0,1,342068.0,1,0,0,0,0,0,0,2373.0,444.0,375.0,4337.0,895.0,1843.0,2,0
132,24.0,16723.0,19476.0,16719.0,24332.0,14924.0,17348.0,2,23528.0,1,0,0,0,2,2,2,2123.0,271.0,980.0,170.0,86.0,353.0,2,0
133,38.0,21152.0,19970.0,42941.0,25250.0,15836.0,19444.0,2,215375.0,1,2,2,0,0,2,0,4077.0,67745.0,2303.0,4796.0,2382.0,3292.0,1,0
134,37.0,101481.0,100668.0,121261.0,103445.0,114005.0,101292.0,3,106984.0,1,-2,-2,-2,-2,-2,-2,464.0,7982.0,1220.0,14254.0,3153.0,3632.0,1,0
135,26.0,-3921.0,-5406.0,-1011.0,-5862.0,-5499.0,-1631.0,1,158010.0,2,1,-2,-2,-2,-2,-2,1127.0,2756.0,624.0,1258.0,914.0,106.0,2,0
136,25.0,32663.0,13119.0,-2965.0,1731.0,4908.0,12710.0,2,26851.0,1,1,-2,-2,-1,-1,-1,310.0,74.0,1149.0,2296.0,409.0,1078.0,2,0
137,51.0,83371.0,85784.0,100856.0,81660.0,90535.0,84156.0,2,87727.0,1,1,2,2,2,2,2,2806.0,6054.0,1011.0,7860.0,3824.0,3283.0,2,1
138,29.0,15424.0,24959.0,25582.0,29771.0,25506.0,33143.0,1,89345.0,1,0,0,0,0,0,0,12523.0,9990.0,3900.0,1278.0,5509.0,186.0,1,1
139,38.0,226676.0,180927.0,74639.0,107529.0,69689.0,85889.0,1,174996.0,2,-1,-1,-1,-1,0,0,5425.0,10913.0,42624.0,2467.0,6414.0,2851.0,2,0
140,35.0,-46623.0,-46106.0,-1840.0,26545.0,14626.0,40224.0,2,321372.0,1,1,-2,-2,-2,-1,2,43.0,5535.0,14619.0,2218.0,288.0,227.0,1,0
141,55.0,65497.0,-603.0,66062.0,116493.0,13984.0,-83921.0,2,369383.0,2,-1,-1,-2,-2,-2,-2,1848.0,11782.0,10276.0,4907.0,9.0,2328.0,1,0
142,28.0,-6990.0,-12434.0,-11546.0,-10126.0,-9138.0,-11947.0,2,365168.0,2,0,0,0,0,0,0,291.0,118.0,780.0,374.0,327.0,126.0,2,0
143,45.0,21354.0,18485.0,5819.0,18063.0,25686.0,58229.0,2,273310.0,1,0,0,0,0,0,-1,10754.0,3683.0,23002.0,28570.0,53928.0,5052.0,2,0
144,29.0,231788.0,230812.0,225796.0,201646.0,199398.0,181571.0,2,289183.0,1,0,0,0,0,0,0,3782.0,4043.0,2852.0,6862.0,5928.0,13612.0,2,0
145,33.0,-14117.0,-5804.0,-2534.0,-7050.0,-11299.0,-4889.0,3,627865.0,1,1,2,2,0,0,0,3631.0,2799.0,2233.0,523.0,6749.0,3924.0,2,1
146,27.0,239556.0,239701.0,253126.0,218937.0,212478.0,169836.0,2,253819.0,2,0,0,0,0,0,0,4448.0,7062.0,7727.0,13733.0,11874.0,6565.0,2,0
